
Converted from imet to match Vaisala RS format

Information about sounding:
==================================

Ignore: Station:                  xxxx
Ignore: Launch time:              2019-06-17 08:25:28 UTC
Ignore: RS type:                  m10
Ignore: RS number:                
Ignore: Reason for termination:   Manual stop
Ignore: Sounding SW version:      MW31 3.66.0

Ignore: PTU calculations in research mode

==================================


Information about map: FLEDT               
==================================


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln scaled       float (4)          1        0       
    T               K               float (4)          1        0       
    RH              %               float (4)          1        0       
    v               m/s             float (4)          -1       0       
    u               m/s             float (4)          -1       0       
    Height          m               float (4)          1        0       
    P               hPa             float (4)          1        0       
    TD              K               float (4)          1        0       
    MR              g/kg            float (4)          1        0       
    DD              dgr             float (4)          1        0       
    FF              m/s             float (4)          1        0       
    AZ              dgr             float (4)          1        0       
    El              dgr             float (4)          1        0       
    Range           m               float (4)          1        0       
    Lon             dgr             float (4)          1        0       
    Lat             dgr             float (4)          1        0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               float (4)          1        0       

*************************************************************************************************
time	Pscl	T	RH	v	u	Height	P	TD	MR	DD	FF	AZ	El	Range	Lon	Lat	SpuKey	UsrKey	RadarH
0	-32768.0	292.96	51.9	0.3068598027523541	-0.6291558324094169	129.0	1004.33190733574	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09227	47.97417	-32768.0	-32768.0	-32768.0
1	-32768.0			0.10471443862370064	-5.999086170938348	129.0		-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09291	47.97462	-32768.0	-32768.0	-32768.0
2	-32768.0			-0.43545941207940153	-1.7465323072967938	133.0		-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09297	47.97462	-32768.0	-32768.0	-32768.0
3	-32768.0	293.0554086781029	49.35502008032128	-2.0569203509969256	2.45134221798073	140.0	1003.0500226419696	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09297	47.97463	-32768.0	-32768.0	-32768.0
4	-32768.0	293.02081735620584	51.0	-1.7834673988086942	5.833459011374516	146.0	1002.3515584829544	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09292	47.97465	-32768.0	-32768.0	-32768.0
5	-32768.0	292.45	52.0	-1.5483001318378735	6.209892648166377	151.0	1001.7692965492452	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09284	47.97466	-32768.0	-32768.0	-32768.0
6	-32768.0	292.45	52.0	0.6211657082460498	2.318221983093764	157.0	1001.0703256182372	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09279	47.97466	-32768.0	-32768.0	-32768.0
7	-32768.0	292.34999999999997	52.0	0.9993908270190958	-0.034899496702500955	164.0	1000.255329835474	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09278	47.97465	-32768.0	-32768.0	-32768.0
8	-32768.0	292.34999999999997	52.0	0.1340562777456623	-1.0918007668054543	170.0	999.5571649680852	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09279	47.97465	-32768.0	-32768.0	-32768.0
9	-32768.0	292.25	52.0	-2.2874003593470285	-0.24041546551560272	176.0	998.8593620045935	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.0928	47.97466	-32768.0	-32768.0	-32768.0
